(0.0, 'F-Count-Sine-C3')
(0.0, 'F-Count-Sine-C2')
(0.0, 'F-Count-Sine-C1')
(0.0, 'F-Count-Seq-C3')
(0.0, 'F-Count-Seq-C2')
(0.0, 'F-Count-Seq-C1')
(0.0, 'F-Count-Or-C3')
(0.0, 'F-Count-Or-C2')
(0.0, 'F-Count-Or-C1')
(0.0, 'F-Count-Neq-C3')
(0.0, 'F-Count-Mod-C3')
(0.0, 'F-Count-Lt-C3')
(0.0, 'F-Count-Lit-String-C1')
(0.0, 'F-Count-Lit-Float-C3')
(0.0, 'F-Count-Lit-Char-P')
(0.0, 'F-Count-Lit-Char-C3')
(0.0, 'F-Count-Lit-Char-C2')
(0.0, 'F-Count-Lit-Char-C1')
(0.0, 'F-Count-Lit-Bool-C3')
(0.0, 'F-Count-Le-C3')
(0.0, 'F-Count-Le-C2')
(0.0, 'F-Count-Le-C1')
(0.0, 'F-Count-Ite-C3')
(0.0, 'F-Count-Gt-C3')
(0.0, 'F-Count-Gt-C1')
(0.0, 'F-Count-Ge-C3')
(0.0, 'F-Count-Ge-C2')
(0.0, 'F-Count-Fun-C3')
(0.0, 'F-Count-FTimes-C3')
(0.0, 'F-Count-FTimes-C2')
(0.0, 'F-Count-FTimes-C1')
(0.0, 'F-Count-FPlus-C3')
(0.0, 'F-Count-FPlus-C2')
(0.0, 'F-Count-FPlus-C1')
(0.0, 'F-Count-FMinus-P')
(0.0, 'F-Count-FMinus-C3')
(0.0, 'F-Count-FMinus-C2')
(0.0, 'F-Count-FMinus-C1')
(0.0, 'F-Count-FExp-P')
(0.0, 'F-Count-FExp-C3')
(0.0, 'F-Count-FExp-C2')
(0.0, 'F-Count-FExp-C1')
(0.0, 'F-Count-FDiv-C3')
(0.0, 'F-Count-FDiv-C2')
(0.0, 'F-Count-FDiv-C1')
(0.0, 'F-Count-Eq-C3')
(0.0, 'F-Count-Cosine-Case-C3')
(0.0, 'F-Count-Cosine-Case-C2')
(0.0, 'F-Count-Cosine-Case-C1')
(0.0, 'F-Count-Cosine-C3')
(0.0, 'F-Count-Cosine-C2')
(0.0, 'F-Count-Cosine-C1')
(0.0, 'F-Count-Average-P')
(0.0, 'F-Count-Average-Case-P')
